model,accuracy,precision,recall,f1,roc_auc
RandomForest,0.9875,0.9949238578680203,0.98,0.9874055415617129,0.9987250000000001
SVM_RBF,0.9825,1.0,0.965,0.9821882951653944,0.99835
KNN,0.995,0.995,0.995,0.995,0.9971125
LogisticRegression,0.96,0.9646464646464646,0.955,0.9597989949748744,0.9948999999999999
GaussianNB,0.945,0.973404255319149,0.915,0.9432989690721649,0.9904250000000001
DecisionTree,0.975,0.9896907216494846,0.96,0.9746192893401016,0.975
MultinomialNB,0.88,0.8877551020408163,0.87,0.8787878787878788,0.94945
BernoulliNB,0.83,0.9583333333333334,0.69,0.8023255813953488,0.878425
